"cell_id","Bat_species","Sex","Lat_c","Long_c","FAL_mean","wFAL_mean","FAL_n","wFAL_n","fal"
35625,"Plecotus austriacus","female",36.8797480597747,-4.0015740244818,41.8,41.8,5,5,40
35966,"Eptesicus isabellinus","male",36.5383582718694,-5.67143111893149,50.65,50.65,4,4,49
35966,"Pipistrellus kuhlii","female",36.5383582718694,-5.67143111893149,33.525,33.525,4,4,33.8
35966,"Pipistrellus kuhlii","male",36.5383582718694,-5.67143111893149,34.1,34.1,1,1,33.8
35967,"Myotis bechsteinii","female",36.5655248381943,-5.57533724218805,42.915,42.915,8,8,43
35967,"Myotis bechsteinii","male",36.5655248381943,-5.57533724218805,39.8,39.8,1,1,43
35967,"Pipistrellus kuhlii","female",36.5655248381943,-5.57533724218805,36.03,36.03,1,1,33.8
35967,"Pipistrellus kuhlii","male",36.5655248381943,-5.57533724218805,32.4,32.4,4,4,33.8
35969,"Eptesicus isabellinus","male",36.6193586951118,-5.38288011458779,49.3833333333333,49.3833333333333,3,3,49
35969,"Hypsugo savii","female",36.6193586951118,-5.38288011458779,34.55,34.55,1,1,34.5
35969,"Myotis escalerai","male",36.6193586951118,-5.38288011458779,37.87,37.87,1,1,39.5
35969,"Pipistrellus kuhlii","female",36.6193586951118,-5.38288011458779,34.61,34.61,1,1,33.8
35969,"Pipistrellus kuhlii","male",36.6193586951118,-5.38288011458779,32.9125,32.9125,4,4,33.8
35969,"Rhinolophus euryale","female",36.6193586951118,-5.38288011458779,48.1,48.1,1,1,46
35972,"Eptesicus isabellinus","male",36.6988588171489,-5.09352727845663,51.084,51.084,5,5,49
35972,"Hypsugo savii","female",36.6988588171489,-5.09352727845663,35.34,35.34,1,1,34.5
35972,"Hypsugo savii","male",36.6988588171489,-5.09352727845663,33.5,33.5,3,3,34.5
35972,"Myotis escalerai","female",36.6988588171489,-5.09352727845663,39.9581818181818,39.9581818181818,11,11,39.5
35972,"Myotis escalerai","male",36.6988588171489,-5.09352727845663,38.9757142857143,38.9757142857143,14,14,39.5
35972,"Plecotus austriacus","female",36.6988588171489,-5.09352727845663,41.164,41.164,10,10,40
