"cell_id","Bat_species","Sex","Lat_c","Long_c","FAL_mean","wFAL_mean","FAL_n","wFAL_n","fal","Tmax","Summer_precipitation","Tmin"
55631,"Plecotus auritus","male",42.370787936094,2.18394937303027,40.65,40.65,2,2,39,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Plecotus austriacus","male",42.370787936094,2.18394937303027,40.55,40.55,2,2,40,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Rhinolophus ferrumequinum","female",42.370787936094,2.18394937303027,57,57,3,3,58.4,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Rhinolophus ferrumequinum","male",42.370787936094,2.18394937303027,55.8,55.8,2,2,58.4,18.5043701171875,3149.60375976562,-7.44101562499998
55631,"Rhinolophus hipposideros","male",42.370787936094,2.18394937303027,37.32,37.32,5,5,37,18.5043701171875,3149.60375976562,-7.44101562499998
55632,"Barbastella barbastellus","male",42.3840745057774,2.29402893069476,39.1,39.1,1,1,39,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Eptesicus serotinus","male",42.3840745057774,2.29402893069476,52.3,52.3,5,5,53,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Hypsugo savii","male",42.3840745057774,2.29402893069476,34.675,34.675,4,4,34.5,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Myotis crypticus","male",42.3840745057774,2.29402893069476,39.8,39.8,3,3,39.3,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Myotis emarginatus","male",42.3840745057774,2.29402893069476,39.1,39.1,2,2,40.4,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Myotis mystacinus","male",42.3840745057774,2.29402893069476,33.45,33.45,2,2,34,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Pipistrellus kuhlii","female",42.3840745057774,2.29402893069476,34.8,34.8,1,1,33.8,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Pipistrellus kuhlii","male",42.3840745057774,2.29402893069476,34.4,34.4,1,1,33.8,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Pipistrellus pipistrellus","male",42.3840745057774,2.29402893069476,30.575,30.575,20,20,30.5,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Plecotus auritus","male",42.3840745057774,2.29402893069476,40.0444444444444,40.0444444444444,9,9,39,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Plecotus austriacus","female",42.3840745057774,2.29402893069476,41.7285714285714,41.7285714285714,7,7,40,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Plecotus austriacus","male",42.3840745057774,2.29402893069476,40.14,40.14,5,5,40,18.75087890625,3262.3037109375,-6.7801513671875
55632,"Rhinolophus hipposideros","male",42.3840745057774,2.29402893069476,36.625,36.625,4,4,37,18.75087890625,3262.3037109375,-6.7801513671875
55633,"Barbastella barbastellus","female",42.3971730101055,2.40416575219233,40.7,40.7,1,1,39,22.7952880859375,2962.8935546875,-2.54230957031245
55633,"Barbastella barbastellus","male",42.3971730101055,2.40416575219233,39.4125,39.4125,8,8,39,22.7952880859375,2962.8935546875,-2.54230957031245
55633,"Myotis escalerai","male",42.3971730101055,2.40416575219233,39.4,39.4,1,1,39.5,22.7952880859375,2962.8935546875,-2.54230957031245
55633,"Plecotus austriacus","female",42.3971730101055,2.40416575219233,40.35,40.35,2,2,40,22.7952880859375,2962.8935546875,-2.54230957031245
55633,"Rhinolophus ferrumequinum","female",42.3971730101055,2.40416575219233,58.7,58.7,1,1,58.4,22.7952880859375,2962.8935546875,-2.54230957031245
55633,"Rhinolophus ferrumequinum","male",42.3971730101055,2.40416575219233,55,55,1,1,58.4,22.7952880859375,2962.8935546875,-2.54230957031245
55633,"Rhinolophus hipposideros","female",42.3971730101055,2.40416575219233,38.5,38.5,3,3,37,22.7952880859375,2962.8935546875,-2.54230957031245
55638,"Eptesicus serotinus","male",42.4598405674845,2.95568178705323,54.3,54.3,2,2,53,26.960693359375,1148.11401367188,1.96042480468753
